datetime,alpha_score
2025-11-30 11:24:54+08:00,2.99763e-06
2025-11-30 11:24:57+08:00,2.99763e-06
2025-11-30 11:25:00+08:00,2.99763e-06
2025-11-30 11:25:03+08:00,2.99763e-06
2025-11-30 11:25:06+08:00,2.99763e-06
2025-11-30 11:25:09+08:00,2.99763e-06
2025-11-30 11:25:12+08:00,2.99763e-06
2025-11-30 11:25:15+08:00,2.99763e-06
2025-11-30 11:25:18+08:00,2.99763e-06
2025-11-30 11:25:21+08:00,2.99763e-06
2025-11-30 11:25:24+08:00,2.99763e-06
2025-11-30 11:25:27+08:00,2.99763e-06
2025-11-30 11:25:30+08:00,2.99763e-06
2025-11-30 11:25:33+08:00,2.99763e-06
2025-11-30 11:25:36+08:00,2.99763e-06
2025-11-30 11:25:39+08:00,2.99763e-06
2025-11-30 11:25:42+08:00,2.99763e-06
2025-11-30 11:25:45+08:00,2.99763e-06
2025-11-30 11:25:48+08:00,2.99763e-06
2025-11-30 11:25:51+08:00,2.99763e-06
2025-11-30 11:25:54+08:00,2.99763e-06
2025-11-30 11:25:57+08:00,2.99763e-06
2025-11-30 11:26:00+08:00,2.99763e-06
2025-11-30 11:26:03+08:00,2.99763e-06
2025-11-30 11:26:06+08:00,2.99763e-06
2025-11-30 11:26:09+08:00,2.99763e-06
2025-11-30 11:26:12+08:00,2.99763e-06
2025-11-30 11:26:15+08:00,2.99763e-06
2025-11-30 11:26:18+08:00,2.99763e-06
2025-11-30 11:26:21+08:00,2.99763e-06
2025-11-30 11:26:24+08:00,2.99763e-06
2025-11-30 11:26:27+08:00,2.99763e-06
2025-11-30 11:26:30+08:00,2.99763e-06
2025-11-30 11:26:33+08:00,2.99763e-06
2025-11-30 11:26:36+08:00,2.99763e-06
2025-11-30 11:26:39+08:00,2.99763e-06
2025-11-30 11:26:42+08:00,2.99763e-06
2025-11-30 11:26:45+08:00,2.99763e-06
2025-11-30 11:26:48+08:00,2.99763e-06
2025-11-30 11:26:51+08:00,2.99763e-06
2025-11-30 11:26:54+08:00,2.99763e-06
2025-11-30 11:26:57+08:00,2.99763e-06
2025-11-30 11:27:00+08:00,2.99763e-06
2025-11-30 11:27:03+08:00,2.99763e-06
2025-11-30 11:27:06+08:00,2.99763e-06
2025-11-30 11:27:09+08:00,2.99763e-06
2025-11-30 11:27:12+08:00,2.99763e-06
2025-11-30 11:27:15+08:00,2.99763e-06
2025-11-30 11:27:18+08:00,2.99763e-06
2025-11-30 11:27:21+08:00,2.99763e-06
2025-11-30 11:27:24+08:00,2.99763e-06
2025-11-30 11:27:27+08:00,2.99763e-06
2025-11-30 11:27:30+08:00,2.99763e-06
2025-11-30 11:27:33+08:00,2.99763e-06
2025-11-30 11:27:36+08:00,2.99763e-06
2025-11-30 11:27:39+08:00,2.99763e-06
2025-11-30 11:27:42+08:00,2.99763e-06
2025-11-30 11:27:45+08:00,2.99763e-06
2025-11-30 11:27:48+08:00,2.99763e-06
2025-11-30 11:27:51+08:00,2.99763e-06
2025-11-30 11:27:54+08:00,2.99763e-06
2025-11-30 11:27:57+08:00,2.99763e-06
2025-11-30 11:28:00+08:00,2.99763e-06
2025-11-30 11:28:03+08:00,2.99763e-06
2025-11-30 11:28:06+08:00,2.99763e-06
2025-11-30 11:28:09+08:00,2.99763e-06
2025-11-30 11:28:12+08:00,2.99763e-06
2025-11-30 11:28:15+08:00,2.99763e-06
2025-11-30 11:28:18+08:00,2.99763e-06
2025-11-30 11:28:21+08:00,2.99763e-06
2025-11-30 11:28:24+08:00,2.99763e-06
2025-11-30 11:28:27+08:00,2.99763e-06
2025-11-30 11:28:30+08:00,2.99763e-06
2025-11-30 11:28:33+08:00,2.99763e-06
